MedInc,HouseAge,AveRooms,AveBedrms,median_house_value
8.3252,41.0,6.984126984126984,1.0238095238095235,4.526
8.3014,21.0,6.238137082601054,0.9718804920913884,3.585
7.2574,52.0,8.288135593220339,1.073446327683616,3.521
5.6431,52.0,5.8173515981735155,1.0730593607305936,3.413
3.8462,52.0,6.281853281853282,1.0810810810810811,3.422
4.0368,52.0,4.761658031088083,1.1036269430051813,2.697
3.6591,52.0,4.9319066147859925,0.95136186770428,2.992
3.12,52.0,4.797527047913447,1.061823802163833,2.414
2.0804,42.0,4.294117647058823,1.1176470588235294,2.267
3.6912,52.0,4.970588235294118,0.9901960784313726,2.611
3.2031,52.0,5.477611940298507,1.079601990049751,2.815
3.2705,52.0,4.772479564032698,1.0245231607629428,2.418
3.075,52.0,5.322649572649572,1.0128205128205128,2.135
2.6736,52.0,4.0,1.0977011494252873,1.913
1.9167,52.0,4.262903225806451,1.0096774193548388,1.592
2.125,50.0,4.242424242424242,1.071969696969697,1.4
2.775,52.0,5.9395770392749245,1.0483383685800605,1.525
2.1202,52.0,4.052805280528053,0.966996699669967,1.555
1.9911,50.0,5.343675417661098,1.0859188544152745,1.587
2.6033,52.0,5.465454545454546,1.0836363636363635,1.629
1.3578,40.0,4.524096385542169,1.108433734939759,1.475
1.7135,42.0,4.478142076502732,1.0027322404371584,1.598
1.725,52.0,5.096234309623431,1.1317991631799162,1.139
2.1806,52.0,5.193846153846154,1.0369230769230768,0.997
2.6,52.0,5.270142180094787,1.0355450236966826,1.326
2.4038,41.0,4.495798319327731,1.0336134453781514,1.075
2.4597,49.0,4.7280334728033475,1.0209205020920502,0.938
1.808,52.0,4.7808564231738035,1.0604534005037782,1.055
1.6424,50.0,4.40169133192389,1.040169133192389,1.089
1.6875,52.0,4.703225806451613,1.032258064516129,1.32
1.9274,49.0,5.068783068783069,1.1825396825396826,1.223
1.9615,52.0,4.882086167800454,1.090702947845805,1.152
1.7969,48.0,5.737313432835821,1.2208955223880598,1.104
1.375,49.0,5.0303951367781155,1.1124620060790271,1.049
2.7303,51.0,4.972014925373134,1.0708955223880596,1.097
1.4861,49.0,4.6022727272727275,1.068181818181818,0.972
1.0972,48.0,4.807486631016043,1.1550802139037433,1.045
1.4103,52.0,3.7493796526054592,0.967741935483871,1.039
3.48,52.0,4.757281553398058,1.0679611650485437,1.914
2.5898,52.0,3.4942528735632186,1.0272988505747127,1.76
2.0978,52.0,4.215189873417722,1.0607594936708862,1.554
1.2852,51.0,3.759036144578314,1.248995983935743,1.5
1.025,49.0,3.772486772486773,1.0687830687830688,1.188
3.9643,52.0,4.797979797979798,1.02020202020202,1.888
3.0125,52.0,4.941780821917808,1.0650684931506849,1.844
2.6768,52.0,4.335078534031414,1.099476439790576,1.823
2.026,50.0,3.700657894736842,1.0592105263157894,1.425
1.7348,43.0,3.9802371541501977,1.233201581027668,1.375
0.9506,40.0,3.9,1.21875,1.875
1.775,40.0,2.6875,1.0653409090909092,1.125
0.9218,21.0,2.045662100456621,1.0342465753424657,1.719
1.5045,43.0,4.58968058968059,1.1203931203931203,0.938
1.1108,41.0,4.473611111111111,1.1847222222222222,0.975
1.2475,52.0,4.075,1.14,1.042
1.6098,52.0,5.021459227467811,1.0085836909871244,0.875
1.4113,52.0,4.295454545454546,1.1045454545454545,0.831
1.5057,52.0,4.77992277992278,1.111969111969112,0.875
0.8172,52.0,6.102459016393443,1.3729508196721312,0.853
1.2171,52.0,4.5625,1.1217105263157894,0.803
2.5625,2.0,2.7719298245614037,0.7543859649122807,0.6
3.3929,52.0,5.994652406417113,1.1283422459893049,0.757
6.1183,49.0,5.869565217391305,1.2608695652173914,0.75
0.9011,50.0,6.229508196721311,1.5573770491803278,0.861
1.191,52.0,7.69811320754717,1.490566037735849,0.761
2.5938,48.0,6.225563909774436,1.368421052631579,0.735
1.1667,52.0,5.401069518716578,1.1176470588235294,0.784
0.8056,48.0,4.382530120481928,1.0662650602409638,0.844
2.6094,52.0,6.98639455782313,1.6598639455782314,0.813
1.8516,52.0,6.975609756097561,1.329268292682927,0.85
0.9802,46.0,4.584288052373159,1.0540098199672667,1.292
1.7719,26.0,6.047244094488189,1.1968503937007875,0.825
0.7286,46.0,3.375451263537906,1.072202166064982,0.952
1.75,49.0,5.552631578947368,1.3421052631578947,0.75
0.4999,46.0,1.7142857142857142,0.5714285714285714,0.675
2.483,20.0,6.2781954887218046,1.2105263157894737,1.375
0.9241,17.0,2.8177676537585423,1.0523917995444192,1.775
2.4464,36.0,5.724950884086444,1.1041257367387034,1.021
1.1111,19.0,5.830917874396135,1.173913043478261,1.083
0.8026,23.0,5.369230769230769,1.1507692307692308,1.125
2.0114,38.0,4.412903225806452,1.135483870967742,1.313
1.5,17.0,3.1972318339100347,1.0,1.625
1.1667,52.0,3.75,1.0,1.125
1.5208,52.0,3.9080459770114944,1.1149425287356325,1.125
0.8075,52.0,2.490322580645161,1.0580645161290323,1.375
1.8088,35.0,5.609467455621302,1.0887573964497042,1.188
2.4083,52.0,6.721739130434782,1.2434782608695651,0.982
0.977,40.0,2.3157894736842106,1.186842105263158,1.188
0.76,10.0,2.6515151515151514,1.0545454545454545,1.625
0.9722,10.0,2.6923076923076925,1.0769230769230769,1.375
1.2434,52.0,2.929411764705882,0.9176470588235294,5.00001
2.0938,16.0,2.74585635359116,1.0828729281767957,1.625
0.8668,52.0,2.4431818181818183,0.9886363636363636,1.375
0.75,52.0,2.823529411764706,0.9117647058823528,1.625
2.6354,27.0,3.493377483443709,1.1490066225165565,1.875
1.8477,39.0,3.6723768736616704,1.3340471092077089,1.792
2.0096,36.0,2.294016358157555,1.066293585880327,1.3
2.8345,31.0,3.894915254237288,1.1279661016949152,1.838
